"customer_id","customer_count"
10006,1
10007,1
10032,1
10080,1
10092,2
10095,1
10124,1
10140,1
10155,1
10165,2
10192,1
10206,1
10227,1
10236,1
10256,1
10273,1
10293,1
10299,1
10316,1
10322,1
10333,1
10355,1
10366,7
10378,3
10385,1
10392,2
10398,1
10408,1
10432,1
10437,1
10443,1
10449,1
10453,1
10459,1
10469,2
10475,1
10505,1
10510,1
10538,1
10562,2
10570,4
10572,1
10573,1
10605,2
10608,1
10612,1
10626,1
10639,1
10642,2
10648,1
10652,1
10660,1
10669,2
10670,3
10689,6
10694,1
10712,1
10751,2
10783,1
10805,6
10813,1
10843,1
10846,1
10919,1
10924,1
10931,1
10936,1
10947,2
10953,1
10964,3
10969,1
10971,1
10981,4
10998,5
11001,1
11006,1
11023,9
11025,1
11039,2
11048,2
11067,6
11072,1
11080,1
11096,3
11125,5
11129,1
11131,2
11135,1
11153,1
11160,1
11183,3
11185,1
11189,1
11196,1
11197,1
11201,1
11230,1
11284,2
11295,1
11324,1
